id,entry_time,exit_time,duration_seconds
1.0,2025-07-01 11:23:17,2025-07-01 11:23:24,7.68
2.0,2025-07-01 11:23:26,2025-07-01 11:23:27,0.48
2.0,2025-07-01 11:23:27,2025-07-01 11:23:45,18.40
3.0,2025-07-01 11:23:48,2025-07-01 11:23:53,4.93
3.0,2025-07-01 11:23:53,2025-07-01 11:23:53,0.45
4.0,2025-07-01 11:23:55,2025-07-01 11:24:10,14.45
3.0,2025-07-01 12:23:48,2025-07-01 12:23:53,4.93
3.0,2025-07-01 12:23:53,2025-07-01 12:23:53,0.45
4.0,2025-07-01 12:23:55,2025-07-01 12:24:10,14.45
3.0,2025-07-01 13:23:48,2025-07-01 13:23:53,4.93
3.0,2025-07-01 13:23:53,2025-07-01 13:23:53,0.45
4.0,2025-07-01 13:23:55,2025-07-01 13:24:10,14.45

